current_filename,subspecialty,extracted_author,extracted_year,extracted_journal,extracted_title,suggested_filename,confidence,confidence_level,status
"JBJS 2000 meta analysis postop DVT ppx.pdf",GENERAL,"",2000,"JBJS","JBJS 2000 meta analysis postop DVT ppx","2000_Unknown_JBJS_Jbjs 2000 Meta Analysis Postop Dvt Ppx",0.75,high,pending
"JHS 2005 Auerbach bicortical lag screws with clamp.pdf",GENERAL,"Roth",2005,"JHS","JHS 2005 Auerbach bicortical lag screws with clamp","2005_Roth_JHS_Jhs 2005 Auerbach Bicortical Lag Screws with Clamp",1.00,high,pending
"Lancet Aspirin DVT ppx.pdf",GENERAL,"Unit",2000,"Lancet","Lancet Aspirin DVT ppx","2000_Unit_Lancet_Lancet Aspir in Dvt Ppx",1.00,high,pending
"Stats For Dummies.pdf",GENERAL,"",,"","Stats For Dummies","Unknown_Unknown_Unknown_Stats for Dummies",0.25,low,pending
"Stimulation of fracture-healing with systemic intermittent parathyroid hormone treatment.pdf",GENERAL,"Barnes",2002,"JBJS","Stimulation of fracture healing with systemic intermittent parathyroid hormone treatment","2002_Barnes_JBJS_Stimulation of Fracture Healing with Systemic",1.00,high,pending
"strong as an ox .pdf",GENERAL,"",2011,"CORR","strong as an ox ","2011_Unknown_CORR_Strong as an Ox",0.75,high,pending
"The Basic Science of Articular Cartilage-  Structure, Composition, and Function.pdf",GENERAL,"Structure",2009,"JAAOS","The Basic Science of Articular Cartilage   Structure, Composition, and Function","2009_Structure_JAAOS_The Basic Science of Articular Cartilage",1.00,high,pending
"gill2007 billing and coding .pdf",GENERAL,"",2007,"CORR","gill2007 billing and coding ","2007_Unknown_CORR_Gill2007 Billing and Coding",0.75,high,pending
"Guide_to_orthopaedic_practices.pdf",GENERAL,"Guide",,"orthopaedic","practices","Unknown_Guide_orthopaedic_Practices",0.75,high,pending
"JHT Return to work after work comp .pdf",GENERAL,"",2013,"CORR","JHT Return to work after work comp ","2013_Unknown_CORR_Jht Return to Work after Work Comp",0.75,high,pending
"JOT 2016 Comanagement and Cost.pdf",GENERAL,"Althausen",2016,"JOT","JOT 2016 Comanagement and Cost","2016_Althausen_JOT_Jot 2016 Comanagement and Cost",1.00,high,pending
"JOT 2016 Cost Saving Oportunities.pdf",GENERAL,"Althausen",2016,"JOT","JOT 2016 Cost Saving Oportunities","2016_Althausen_JOT_Jot 2016 Cost Saving Oportunities",1.00,high,pending
"JOT 2016 Dual Vendor Matrix Pricing and Sole Source Implant Costs.pdf",GENERAL,"Althausen",2016,"JOT","JOT 2016 Dual Vendor Matrix Pricing and Sole Source Implant Costs","2016_Althausen_JOT_Jot 2016 Dual Vendor Matrix Pricing and Sole",1.00,high,pending
"JOT 2021 Are_Orthopaedic_Trauma_Surgeons_Adequately.14.pdf",GENERAL,"JOT 2021 Are",2021,"Trauma","Surgeons Adequately.14","2021_JOT 2021 Are_Trauma_Surgeons Adequately.14",1.00,high,pending
"JOT 2021 Declining_Medicare_Reimbursement_in_Orthopaedic.6.pdf",GENERAL,"Kugelman",2020,"Reimbursement","in Orthopaedic.6","2020_Kugelman_Reimbursement_In Orthopaedic.6",1.00,high,pending
"time off after Work Comp.pdf",GENERAL,"Wong",2008,"CORR","time off after Work Comp","2008_Wong_CORR_Time Off after Work Comp",1.00,high,pending
"Workers' Compensation Journal Spine.pdf",GENERAL,"Bible",2014,"Spine","Workers' Compensation Journal Spine","2014_Bible_Spine_Workers' Compensation Journal Spine",1.00,high,pending
"71181028_rev0_trigen_hfn_st_lores.pdf",FOOT_AND_ANKLE,"71181028",,"trigen","hfn st lores","Unknown_71181028_trigen_Hfn St Lores",0.75,high,pending
"AAFD_FAI.pdf",FOOT_AND_ANKLE,"Pinney",2006,"FAI","Current Concept Review: Acquired Adult Flatfoot Deformity","2006_Pinney_FAI_Current Concept Review- Acquired Adult Flatfoot",1.00,high,pending
"achilles tendinopathy.pdf",FOOT_AND_ANKLE,"Reddy",2009,"JAAOS","achilles tendinopathy","2009_Reddy_JAAOS_Achilles Tendinopathy",1.00,high,pending
"AchillesRuptureClinicalPracticeGuidelines.pdf",FOOT_AND_ANKLE,"Chiodo",2010,"JAAOS","AchillesRuptureClinicalPracticeGuidelines","2010_Chiodo_JAAOS_Achilles Rupture Clinical Practice Guidelines",1.00,high,pending
"AchillesTendonRupture_JBJS.pdf",FOOT_AND_ANKLE,"AchillesTendonRupture",2004,"JBJS","Surgical Interventions for Treating Acute Achilles","2004_AchillesTendonRupture_JBJS_Surgical Interventions for Treating Acute Achilles",1.00,high,pending
"AchillesTendonRupture_JBJSReviews.pdf",FOOT_AND_ANKLE,"Smith",2015,"JBJS","JBJSReviews","2015_Smith_JBJS_Jbjs Reviews",1.00,high,pending
"AcuteandChronicAnkleInstability.pdf",FOOT_AND_ANKLE,"Midlands",2008,"JAAOS","AcuteandChronicAnkleInstability","2008_Midlands_JAAOS_Acute and Chronic Ankle Instability",1.00,high,pending
"AcuteFxsandNonunionsofProximal5thMT.pdf",FOOT_AND_ANKLE,"Permanente",2000,"JAAOS","AcuteFxsandNonunionsofProximal5thMT","2000_Permanente_JAAOS_Acute Fxs and Nonunions of Proximal5th Mt",1.00,high,pending
"adult flatfoot.pdf",FOOT_AND_ANKLE,"Pedowitz",1995,"JAAOS","adult flatfoot","1995_Pedowitz_JAAOS_Adult Flatfoot",1.00,high,pending
"AdultAcquiredFlatfootDeformity copy.pdf",FOOT_AND_ANKLE,"Etiology",2017,"JBJS","AdultAcquiredFlatfootDeformity copy","2017_Etiology_JBJS_Adult Acquired Flatfoot Deformity Copy",1.00,high,pending
"AdultAcquiredFlatfootDeformity.pdf",FOOT_AND_ANKLE,"",2008,"JAAOS","AdultAcquiredFlatfootDeformity","2008_Unknown_JAAOS_Adult Acquired Flatfoot Deformity",0.75,high,pending
"Alfredson_1998_AJSM_Heavy-Load_Eccentric_Calf_Muscle_Training.pdf",FOOT_AND_ANKLE,"Alfredson",1998,"AJSM","Heavy Load Eccentric Calf Muscle Training","1998_Alfredson_AJSM_Heavy Load Eccentric Calf Muscle Training",1.00,high,pending
"ankle anatomy .pdf",FOOT_AND_ANKLE,"",2010,"KSSTA","ankle anatomy ","2010_Unknown_KSSTA_Ankle Anatomy",0.75,high,pending
"ankle arthritis , cant always replace .pdf",FOOT_AND_ANKLE,"Hayes",2015,"JAAOS","ankle arthritis , cant always replace ","2015_Hayes_JAAOS_Ankle Arthritis Cant Always Replace",1.00,high,pending
"ankle arthritis.pdf",FOOT_AND_ANKLE,"Hayes",2015,"JAAOS","ankle arthritis","2015_Hayes_JAAOS_Ankle Arthritis",1.00,high,pending
"Ankle sprains.pdf",FOOT_AND_ANKLE,"",2014,"CORR","Ankle sprains","2014_Unknown_CORR_Ankle Sprains",0.75,high,pending
"AnkleArthritis.pdf",FOOT_AND_ANKLE,"Hayes",2015,"JAAOS","AnkleArthritis","2015_Hayes_JAAOS_Ankle Arthritis",1.00,high,pending
"AnkleLigaments.pdf",FOOT_AND_ANKLE,"",2010,"KSSTA","AnkleLigaments","2010_Unknown_KSSTA_Ankle Ligaments",0.75,high,pending
"antagonists about the ankle .pdf",FOOT_AND_ANKLE,"IaGarza",1981,"CORR","antagonists about the ankle ","1981_IaGarza_CORR_Antagonists About the Ankle",1.00,high,pending
"AnteriorAnkleImpingement.pdf",FOOT_AND_ANKLE,"",2014,"JAAOS","AnteriorAnkleImpingement","2014_Unknown_JAAOS_Anterior Ankle Impingement",0.75,high,pending
"Bone_Grafting_in_Surgery_About_the_Foot_and_Ankle_.6.pdf",FOOT_AND_ANKLE,"Bone",2011,"in","Surgery About the Foot and Ankle .6","2011_Bone_in_Surgery About the Foot and Ankle .6",1.00,high,pending
"Bowes_FifthMTFxs.pdf",FOOT_AND_ANKLE,"Bowes",2016,"CORR","FifthMTFxs","2016_Bowes_CORR_Fifth Mt Fxs",1.00,high,pending
"Bunionette.pdf",FOOT_AND_ANKLE,"",2007,"JAAOS","Bunionette","2007_Unknown_JAAOS_Bunionette",0.75,high,pending
"CavovarusFoot.pdf",FOOT_AND_ANKLE,"Georgiadis",2015,"JBJS","CavovarusFoot","2015_Georgiadis_JBJS_Cavovarus Foot",1.00,high,pending
"charcot neuropathy of the foot and ankle.pdf",FOOT_AND_ANKLE,"",2009,"JAAOS","charcot neuropathy of the foot and ankle","2009_Unknown_JAAOS_Charcot Neuropathy of the Foot and Ankle",0.75,high,pending
"CharcotArthropathy.pdf",FOOT_AND_ANKLE,"",2009,"JAAOS","CharcotArthropathy","2009_Unknown_JAAOS_Charcot Arthropathy",0.75,high,pending
"Charcot_JBJS.pdf",FOOT_AND_ANKLE,"Charcot",,"JBJS","Progression of Foot Deformity in Charcot","Unknown_Charcot_JBJS_Progression of Foot Deformity in Charcot",0.75,high,pending
"Coughlin_JBJS_HallusRigidus.pdf",FOOT_AND_ANKLE,"Coughlin",2003,"JBJS","JBJS HallusRigidus","2003_Coughlin_JBJS_Jbjs Hallus Rigidus",1.00,high,pending
"Diagnosis_and_Treatment_of_Acute_Achilles_Tendon.7.pdf",FOOT_AND_ANKLE,"Diagnosis",2010,"Treatment","of Acute Achilles Tendon.7","2010_Diagnosis_Treatment_Of Acute Achilles Tendon.7",1.00,high,pending
"Disorders of the 1st metatarsal.pdf",FOOT_AND_ANKLE,"",1995,"JAAOS","Disorders of the 1st metatarsal","1995_Unknown_JAAOS_Disorders of the 1st Metatarsal",0.75,high,pending
"Dm osteo foot.pdf",FOOT_AND_ANKLE,"Palda",2008,"CORR","Dm osteo foot","2008_Palda_CORR_Dm Osteo Foot",1.00,high,pending
"dm oteo foot .pdf",FOOT_AND_ANKLE,"",2012,"","dm oteo foot ","2012_Unknown_Unknown_Dm Oteo Foot",0.50,medium,pending
"EntrapmentNeuropathy.pdf",FOOT_AND_ANKLE,"",2014,"JAAOS","EntrapmentNeuropathy","2014_Unknown_JAAOS_Entrapment Neuropathy",0.75,high,pending
"Evolving_Techniques_in_Foot_and_Ankle_Amputation.5.pdf",FOOT_AND_ANKLE,"Evolving",2010,"in","Foot and Ankle Amputation.5","2010_Evolving_in_Foot and Ankle Amputation.5",1.00,high,pending
"F Ankle Clinics NA 2013 OCDs talus.pdf",FOOT_AND_ANKLE,"Size",2000,"CORR","F Ankle Clinics NA 2013 OCDs talus","2000_Size_CORR_F Ankle Clinics Na 2013 Oc Ds Talus",1.00,high,pending
"F&A guide to DM foot care .pdf",FOOT_AND_ANKLE,"Pinzur",1999,"FAI","F&A guide to DM foot care ","1999_Pinzur_FAI_Fanda Guide to Dm Foot Care",1.00,high,pending
"FAClinics 2003 Stage II flatfoot what fails and why.pdf",FOOT_AND_ANKLE,"Saar",1989,"CORR","FAClinics 2003 Stage II flatfoot what fails and why","1989_Saar_CORR_Fa Clinics 2003 Stage Ii Flatfoot What Fails and",1.00,high,pending
"FAClinics 2007 Refined classification of PTTD Myerson.pdf",FOOT_AND_ANKLE,"Bluman",1989,"CORR","FAClinics 2007 Refined classification of PTTD Myerson","1989_Bluman_CORR_Fa Clinics 2007 Refined Classification of Pttd",1.00,high,pending
"FAClinics 2007 Stage IV PTTD Myerson.pdf",FOOT_AND_ANKLE,"Bluman",2007,"CORR","FAClinics 2007 Stage IV PTTD Myerson","2007_Bluman_CORR_Fa Clinics 2007 Stage Iv Pttd Myerson",1.00,high,pending
"FAClinics 2012 RAM Classification Daniel FootAnkleClin.pdf",FOOT_AND_ANKLE,"Raikin",2012,"CORR","FAClinics 2012 RAM Classification Daniel FootAnkleClin","2012_Raikin_CORR_Fa Clinics 2012 Ram Classification Daniel Foot",1.00,high,pending
"FAI 2001 Difficult AAFD Stage II.pdf",FOOT_AND_ANKLE,"LaClair",,"FAI","FAI 2001 Difficult AAFD Stage II","Unknown_LaClair_FAI_Fai 2001 Difficult Aafd Stage Ii",0.75,high,pending
"FAI 2003 Indication and rationale for hindfoot procedures.pdf",FOOT_AND_ANKLE,"Castro",2003,"FAI","FAI 2003 Indication and rationale for hindfoot procedures","2003_Castro_FAI_Fai 2003 Indication and Rationale for Hindfoot",1.00,high,pending
"FAI 2007 Cotton Osteotomy indications techniques.pdf",FOOT_AND_ANKLE,"Tankson",2007,"FAI","FAI 2007 Cotton Osteotomy indications techniques","2007_Tankson_FAI_Fai 2007 Cotton Osteotomy Indications Techniques",1.00,high,pending
"FAI 2012 Review of medial column procedures.pdf",FOOT_AND_ANKLE,"McCormick",2012,"FAI","FAI 2012 Review of medial column procedures","2012_McCormick_FAI_Fai 2012 Review of Medial Column Procedures",1.00,high,pending
"FAI sammarco1998 FHL tendonitis.pdf",FOOT_AND_ANKLE,"Cooper",1998,"FAI","FAI sammarco1998 FHL tendonitis","1998_Cooper_FAI_Fai Sammarco1998 Fhl Tendonitis",1.00,high,pending
"foot and ankle infections.pdf",FOOT_AND_ANKLE,"",2012,"JAAOS","foot and ankle infections","2012_Unknown_JAAOS_Foot and Ankle Infections",0.75,high,pending
"Foot Ankle Clin 2012 Biomechanics Normal and Arthritic Ankle.pdf",FOOT_AND_ANKLE,"Snedeker",,"CORR","Foot Ankle Clin 2012 Biomechanics Normal and Arthritic Ankle","Unknown_Snedeker_CORR_Foot Ankle Clin 2012 Biomechanics Normal and",0.75,high,pending
"Foot Ankle Int-1999-Thordarson-497-500.pdf",FOOT_AND_ANKLE,"Thordarson",1999,"","Foot Ankle Int 1999 Thordarson 497 500","1999_Thordarson_Unknown_Foot Ankle Int 1999 Thordarson 497 500",0.75,high,pending
"Foot Ankle Int-2002-Öztuna-208-11.pdf",FOOT_AND_ANKLE,"AlperGolprnar",2002,"CORR","Foot Ankle Int 2002 Öztuna 208 11","2002_AlperGolprnar_CORR_Foot Ankle Int 2002 Öztuna 208 11",1.00,high,pending
"Foot Ankle Int-2005-Noonan-304-8.pdf",FOOT_AND_ANKLE,"",2005,"CORR","Foot Ankle Int 2005 Noonan 304 8","2005_Unknown_CORR_Foot Ankle Int 2005 Noonan 304 8",0.75,high,pending
"Foot Ankle Int-2007-Benthien-70-7 Flexible flatfoot biomechanical study.pdf",FOOT_AND_ANKLE,"Benthien",2007,"FAI","Foot Ankle Int 2007 Benthien 70 7 Flexible flatfoot biomechanical study","2007_Benthien_FAI_Foot Ankle Int 2007 Benthien 70 7 Flexible",1.00,high,pending
"Foot Ankle Int-2007-Kopp-1045-7-2.pdf",FOOT_AND_ANKLE,"Kopp",2007,"CORR","Foot Ankle Int 2007 Kopp 1045 7 2","2007_Kopp_CORR_Foot Ankle Int 2007 Kopp 1045 7 2",1.00,high,pending
"Foot Ankle Int-2007-Kopp-1045-7.pdf",FOOT_AND_ANKLE,"Kopp",2007,"CORR","Foot Ankle Int 2007 Kopp 1045 7","2007_Kopp_CORR_Foot Ankle Int 2007 Kopp 1045 7",1.00,high,pending
"Foot Ankle Int-2007-Pinzur-961-6.pdf",FOOT_AND_ANKLE,"Pinzur",2007,"CORR","Foot Ankle Int 2007 Pinzur 961 6","2007_Pinzur_CORR_Foot Ankle Int 2007 Pinzur 961 6",1.00,high,pending
"Foot Ankle Int-2011-Johnson-394-9.pdf",FOOT_AND_ANKLE,"Johnson",2011,"CORR","Foot Ankle Int 2011 Johnson 394 9","2011_Johnson_CORR_Foot Ankle Int 2011 Johnson 394 9",1.00,high,pending
"Foot Ankle Int-2011-Nunley-850-5.pdf",FOOT_AND_ANKLE,"Nunley",2011,"CORR","Foot Ankle Int 2011 Nunley 850 5","2011_Nunley_CORR_Foot Ankle Int 2011 Nunley 850 5",1.00,high,pending
"Foot Ankle Int-2012-Deland-239-43.pdf",FOOT_AND_ANKLE,"Deland",2012,"FAI","Foot Ankle Int 2012 Deland 239 43","2012_Deland_FAI_Foot Ankle Int 2012 Deland 239 43",1.00,high,pending
"Foot Ankle Int-2012-Kang-487-91.pdf",FOOT_AND_ANKLE,"Thordarson",2012,"CORR","Foot Ankle Int 2012 Kang 487 91","2012_Thordarson_CORR_Foot Ankle Int 2012 Kang 487 91",1.00,high,pending
"Foot Ankle Int-2012-Salzler-262-6.pdf",FOOT_AND_ANKLE,"Salzler",2012,"CORR","Foot Ankle Int 2012 Salzler 262 6","2012_Salzler_CORR_Foot Ankle Int 2012 Salzler 262 6",1.00,high,pending
"Foot Ankle Int-2013-Flavin-1340-8-2.pdf",FOOT_AND_ANKLE,"Aviv",1970,"CORR","Foot Ankle Int 2013 Flavin 1340 8 2","1970_Aviv_CORR_Foot Ankle Int 2013 Flavin 1340 8 2",1.00,high,pending
"Foot Ankle Int-2013-Flavin-1340-8.pdf",FOOT_AND_ANKLE,"Aviv",1970,"CORR","Foot Ankle Int 2013 Flavin 1340 8","1970_Aviv_CORR_Foot Ankle Int 2013 Flavin 1340 8",1.00,high,pending
"Foot Ankle Int-2013-Iossi-781-91 Radiographic analysis for adult flatfoot.pdf",FOOT_AND_ANKLE,"",2013,"FAI","Foot Ankle Int 2013 Iossi 781 91 Radiographic analysis for adult flatfoot","2013_Unknown_FAI_Foot Ankle Int 2013 Iossi 781 91 Radiographic",0.75,high,pending
"Foot Ankle Int-2013-Kang-392-7.pdf",FOOT_AND_ANKLE,"Center",2013,"FAI","Foot Ankle Int 2013 Kang 392 7","2013_Center_FAI_Foot Ankle Int 2013 Kang 392 7",1.00,high,pending
"Foot Ankle Int-2013-Labib-1040-7.pdf",FOOT_AND_ANKLE,"",2013,"CORR","Foot Ankle Int 2013 Labib 1040 7","2013_Unknown_CORR_Foot Ankle Int 2013 Labib 1040 7",0.75,high,pending
"Foot Ankle Int-2013-Ling-1221-6 Plantar closing wedge osteotomy.pdf",FOOT_AND_ANKLE,"",2013,"FAI","Foot Ankle Int 2013 Ling 1221 6 Plantar closing wedge osteotomy","2013_Unknown_FAI_Foot Ankle Int 2013 Ling 1221 6 Plantar Closing",0.75,high,pending
"Foot Ankle Spec-2010-Kim-335-7.pdf",FOOT_AND_ANKLE,"",2010,"CORR","Foot Ankle Spec 2010 Kim 335 7","2010_Unknown_CORR_Foot Ankle Spec 2010 Kim 335 7",0.75,high,pending
"FootandAnkleInfections.pdf",FOOT_AND_ANKLE,"",2012,"JAAOS","FootandAnkleInfections","2012_Unknown_JAAOS_Foot and Ankle Infections",0.75,high,pending
"FootandAnkleStressFxs.pdf",FOOT_AND_ANKLE,"Shindle",2012,"JAAOS","FootandAnkleStressFxs","2012_Shindle_JAAOS_Foot and Ankle Stress Fxs",1.00,high,pending
"FootAnkleClin 2012 Medial column procedures AAFFD.pdf",FOOT_AND_ANKLE,"McCormick",2012,"CORR","FootAnkleClin 2012 Medial column procedures AAFFD","2012_McCormick_CORR_Foot Ankle Clin 2012 Medial Column Procedures",1.00,high,pending
"Foot_and_Ankle_Infections__Diagnosis_and.2.pdf",FOOT_AND_ANKLE,"Foot",2012,"Ankle","Infections  Diagnosis and.2","2012_Foot_Ankle_Infections Diagnosis And.2",1.00,high,pending
"Foot_Compartment_Syndrome__Diagnosis_and.2.pdf",FOOT_AND_ANKLE,"Foot",2013,"Syndrome"," Diagnosis and.2","2013_Foot_Syndrome_Diagnosis And.2",1.00,high,pending
"Fracture_of_the_Proximal_Fifth_Metatarsal.6.pdf",FOOT_AND_ANKLE,"Fracture",2009,"the","Proximal Fifth Metatarsal.6","2009_Fracture_the_Proximal Fifth Metatarsal.6",1.00,high,pending
"Grice osteotomy .pdf",FOOT_AND_ANKLE,"Rikshospitalet",2009,"CORR","Grice osteotomy ","2009_Rikshospitalet_CORR_Grice Osteotomy",1.00,high,pending
"Hallux Valgus.pdf",FOOT_AND_ANKLE,"Hospital",2005,"JBJS","Hallux Valgus","2005_Hospital_JBJS_Hallux Valgus",1.00,high,pending
"HalluxRigidus.pdf",FOOT_AND_ANKLE,"",2012,"JAAOS","HalluxRigidus","2012_Unknown_JAAOS_Hallux Rigidus",0.75,high,pending
"HalluxValgus_InstructionalCourseLecture (deleted ff4c42cb02162daa8d17c38180a7eceb).pdf",FOOT_AND_ANKLE,"Lectures",1996,"JBJS","InstructionalCourseLecture (deleted ff4c42cb02162daa8d17c38180a7eceb)","1996_Lectures_JBJS_Instructional Course Lecture Deleted",1.00,high,pending
"HalluxValgus_InstructionalCourseLecture.pdf",FOOT_AND_ANKLE,"Lectures",1996,"JBJS","InstructionalCourseLecture","1996_Lectures_JBJS_Instructional Course Lecture",1.00,high,pending
"Herring_1997_Unknown_Copyright_©_1997_by_the_American_Orthopaedic_Foot_and_Ankle_Society,_Inc.pdf",FOOT_AND_ANKLE,"Herring",1997,"","Copyright © 1997 by the American Orthopaedic Foot and Ankle Society, Inc","1997_Herring_Unknown_Copyright © 1997 by the American Orthopaedic Foot",0.75,high,pending
"High_Ankle_Sprains_and_Syndesmotic_Injuries_in.3.pdf",FOOT_AND_ANKLE,"High",2015,"Sprains","and Syndesmotic Injuries in.3","2015_High_Sprains_And Syndesmotic Injuries In.3",1.00,high,pending
"JAAOS 1995 The_Diabetic_Foot.4.pdf",FOOT_AND_ANKLE,"JAAOS 1995 The",1995,"JAAOS","Diabetic Foot.4","1995_JAAOS 1995 The_JAAOS_Diabetic Foot.4",1.00,high,pending
"JAAOS 1998 Triple arthrodesis in adults.pdf",FOOT_AND_ANKLE,"",1998,"JAAOS","JAAOS 1998 Triple arthrodesis in adults","1998_Unknown_JAAOS_Jaaos 1998 Triple Arthrodesis in Adults",0.75,high,pending
"JAAOS 2005 Adult cavovarus foot.pdf",FOOT_AND_ANKLE,"Program",2005,"JAAOS","JAAOS 2005 Adult cavovarus foot","2005_Program_JAAOS_Jaaos 2005 Adult Cavovarus Foot",1.00,high,pending
"JAAOS 2009, Philbin DO, Peroneal tendon injuries.pdf",FOOT_AND_ANKLE,"Philbin",2009,"JAAOS","JAAOS 2009, Philbin DO, Peroneal tendon injuries","2009_Philbin_JAAOS_Jaaos 2009 Philb in Do Peroneal Tendon Injuries",1.00,high,pending
"JAAOS 2011 Shirzadet al Lesser Toe deformities.pdf",FOOT_AND_ANKLE,"Kiesau",2011,"JAAOS","JAAOS 2011 Shirzadet al Lesser Toe deformities","2011_Kiesau_JAAOS_Jaaos 2011 Shirzadet Al Lesser Toe Deformities",1.00,high,pending
"JAAOS 2012 IM nail for tibiocalcaneal arthrodesis.pdf",FOOT_AND_ANKLE,"Thomas",2012,"JAAOS","JAAOS 2012 IM nail for tibiocalcaneal arthrodesis","2012_Thomas_JAAOS_Jaaos 2012 Im Nail for Tibiocalcaneal Arthrodesis",1.00,high,pending
"JAAOS 2013 The Adult Paralytic Foot.pdf",FOOT_AND_ANKLE,"",2013,"JAAOS","JAAOS 2013 The Adult Paralytic Foot","2013_Unknown_JAAOS_Jaaos 2013 the Adult Paralytic Foot",0.75,high,pending
"JAAOS 2014 Flatfoot deformity in children.pdf",FOOT_AND_ANKLE,"Mosca",2014,"JAAOS","JAAOS 2014 Flatfoot deformity in children","2014_Mosca_JAAOS_Jaaos 2014 Flatfoot Deformity in Children",1.00,high,pending
"JAAOS 2014 MTP instability and plantar plate deficiency lesser toes.pdf",FOOT_AND_ANKLE,"",2014,"JAAOS","JAAOS 2014 MTP instability and plantar plate deficiency lesser toes","2014_Unknown_JAAOS_Jaaos 2014 Mtp Instability and Plantar Plate",0.75,high,pending
"JAAOS 2014 Subtle Cavus Foot.pdf",FOOT_AND_ANKLE,"Deben",2014,"JAAOS","JAAOS 2014 Subtle Cavus Foot","2014_Deben_JAAOS_Jaaos 2014 Subtle Cavus Foot",1.00,high,pending
"JAAOS 2015 Entrapment neuropathy of the foot and ankle.pdf",FOOT_AND_ANKLE,"",2014,"JAAOS","JAAOS 2015 Entrapment neuropathy of the foot and ankle","2014_Unknown_JAAOS_Jaaos 2015 Entrapment Neuropathy of the Foot and",0.75,high,pending
"JAAOS Acute and chronic ankle instability.pdf",FOOT_AND_ANKLE,"Midlands",2008,"JAAOS","JAAOS Acute and chronic ankle instability","2008_Midlands_JAAOS_Jaaos Acute and Chronic Ankle Instability",1.00,high,pending
"JBJS 1996, Coughlin, Hallux Valgus.pdf",FOOT_AND_ANKLE,"Lectures",1996,"JBJS","JBJS 1996, Coughlin, Hallux Valgus","1996_Lectures_JBJS_Jbjs 1996 Coughlin Hallux Valgus",1.00,high,pending
"JBJS 2013 osteochondral talus lesions operative treatment.pdf",FOOT_AND_ANKLE,"Kennedy",,"JBJS","JBJS 2013 osteochondral talus lesions operative treatment","Unknown_Kennedy_JBJS_Jbjs 2013 Osteochondral Talus Lesions Operative",0.75,high,pending
"JFAS 2008 Sectioning spring ligament and stability.pdf",FOOT_AND_ANKLE,"Director",2008,"CORR","JFAS 2008 Sectioning spring ligament and stability","2008_Director_CORR_Jfas 2008 Sectioning Spring Ligament and Stability",1.00,high,pending
"JonesFxs_JBJSReviews.pdf",FOOT_AND_ANKLE,"Lareau",2015,"JBJS","JBJSReviews","2015_Lareau_JBJS_Jbjs Reviews",1.00,high,pending
"JOT 2012, Panchbavi, Orientation of the Lisfranc screw.pdf",FOOT_AND_ANKLE,"Panchbhavi",2012,"JOT","JOT 2012, Panchbavi, Orientation of the Lisfranc screw","2012_Panchbhavi_JOT_Jot 2012 Panchbavi Orientation of the Lisfranc",1.00,high,pending
"Kinematic_2022_Injury_Foot_&_Ankle_International®.pdf",FOOT_AND_ANKLE,"Kinematic",2022,"Injury","Foot & Ankle International®","2022_Kinematic_Injury_Foot and Ankle International®",1.00,high,pending
